序號,詞語,級別,注音,漢拼,詞類/性質,詞彙英譯,語義/義項,情境,用法-常用搭配詞,例句
1100,亂,第3級,ㄌㄨㄢˋ,luàn,Vs,"arbitrary, random",,核心詞,亂說，亂講，亂跑,我要開始存錢，不能亂花錢了。請不要亂丟垃圾。不要讓小孩子在餐廳裡亂跑，很危險。
1101,滿,第3級,ㄇㄢˇ,mǎn,Vs,full,沒有空著的地方。,核心詞,裝滿，坐滿,除夕夜的時候，桌上放滿各種好吃的菜。
1102,滿,第3級,ㄇㄢˇ,mǎn,Vp,reach an amount,到一個程度（時間、年紀、多少錢……）,核心詞,滿三年，滿二十歲，滿三千元,他工作已經滿一年了。他這個月就滿二十歲了。
1103,芒果,第3級,ㄇㄤˊ ㄍㄨㄛˇ,mángguǒ,N,mango,一種水果。,10.餐飲、烹飪,一個芒果，芒果冰,台灣的芒果冰非常好吃，而且很有名。
1104,毛巾,第3級,ㄇㄠˊ　ㄐㄧㄣ,máojīn,N,towel,洗臉和洗澡以後可以把自己弄乾的東西。,2.日常起居,一條毛巾,洗完臉以後，我拿了一條毛巾把臉弄乾。
1105,毛衣,第3級,ㄇㄠˊ　ㄧ,máoyī,N,sweater,,9.購物、商店,一件毛衣,冬天到了，我買了一件新的毛衣。
1106,夢,第3級,ㄇㄥˋ,mèng,N,a dream,,2.日常起居,,晚安，祝你有個好夢。
1107,夢,第3級,ㄇㄥˋ,mèng,V,to dream,,2.日常起居,夢見，夢到,他夢見他的外婆。我昨天夢到我考試考得很好。
1108,摩托車,第3級,ㄇㄛˊ ㄊㄨㄛ ㄔㄜ,mótuōchē,N,"motorcycle, scooter",,5.交通、旅遊,兩輛摩托車，騎摩托車,他每天騎摩托車上班。
1109,母親,第3級,ㄇㄨˇ ㄑㄧㄣ,mǔqīn,N,mother,媽媽。,核心詞,,我的母親是一位醫生，父親是一位老師。
1110,木瓜,第3級,ㄇㄨˋ ㄍㄨㄚ,mùguā,N,papaya,一種水果。,10.餐飲、烹飪,一個木瓜，木瓜樹,這個木瓜綠綠的，還沒熟。
1111,沐浴乳,第3級,ㄇㄨˋ ㄩˋ ㄖㄨˇ,mùyùrǔ,N,shower gel,可以把身體洗乾淨的東西。,2.日常起居,一瓶沐浴乳,我昨天在超級市場買了一瓶適合夏天用的沐浴乳。
1112,鬧鐘,第3級,ㄋㄠˋ ㄓㄨㄥ,nàozhōng,N,alarm clock,時間到的時候會有聲音的鐘。,2.日常起居,一個鬧鐘,鬧鐘每天早上六點都會叫我起床。
1113,那樣,第3級,ㄋㄚˋ ㄧㄤˋ,nàyàng,Det,"that kind of, like that",那個樣子（人或事）,核心詞,那樣的人，那樣的事,住在學校附近很方便，但是那樣的房子，房租應該不便宜吧。
1114,那樣,第3級,ㄋㄚˋ ㄧㄤˋ,nàyàng,Adv,"that way, so that",那個樣子（做……事）,核心詞,,我覺得他那樣說，不太客氣。
1115,內,第3級,ㄋㄟˋ,nèi,N,"inside, in",裡面。,核心詞,,電腦教室內不可以吃東西。
1116,內,第3級,ㄋㄟˋ,nèi,N,within,在……（時間）裡面,核心詞,（在）三天內,你一定要在一個小時內寫完。
1117,年紀,第3*級,ㄋㄧㄢˊ ㄐㄧˋ,niánjì,N,age,多少歲。,1.個人資料,年紀大，年紀小，多大年紀,外婆的年紀雖然很大，但是身體還是很健康。您今年多大年紀？
