序號,詞語,級別,注音,漢拼,詞類/性質,詞彙英譯,語義/義項,情境,用法-常用搭配詞,例句
1,愛,第1級,ㄞˋ,ài,Vs,to love,,核心詞,,我愛你。他很愛吃水果。
2,愛,第1級,ㄞˋ,ài,N,love,,核心詞,,爸爸媽媽對孩子的愛很多。
3,八,第1級,ㄅㄚ,bā,N,eight,8,核心詞,八個，八張，八年,他買了八個包子。
4,爸爸/爸,第1級,ㄅㄚˋ ˙ㄅㄚ / ㄅㄚˋ,bàba / bà,N,father,,核心詞,,我爸爸喜歡看電影。爸爸，生日快樂。
5,吧,第1級,˙ㄅㄚ,ba,Ptc,"final particle( for confirming, request )",,核心詞,走吧,你是從英國來的吧？我們一起去運動吧！
6,百,第1級,ㄅㄞˇ,bǎi,N,hundred,100,核心詞,一百個人，三百六十五天，一百五十分鐘，一百塊,一年有三百六十五天。
7,半,第1級,ㄅㄢˋ,bàn,N,half,,核心詞,半個，半杯，半個鐘頭,我吃了半個麵包。我喝了半杯咖啡。我休息半個鐘頭。
8,本,第1級,ㄅㄣˇ,běn,M,"classifier for books, periodicals, files, etc.",,核心詞,一本書，這本書,老師送給我三本書。
9,不,第1級,ㄅㄨˋ,bù,Adv,not,,核心詞,不是，不要，不會，不好，不去，不漂亮，不喜歡,他不是學生。我不會說英文。他不喜歡吃麵。明天不上課。
10,茶,第1級,ㄔㄚˊ,chá,N,tea,,10.餐飲、烹飪,一杯茶,你有時間坐下來喝杯茶嗎？
11,車/車子,第1級,ㄔㄜ / ㄔㄜ ˙ㄗ,chē / chēzi,N,"car, vehicle",,核心詞,一輛車，上車，下車，開車，車上,我買了一輛新車。這條路上的車子很多。你在車上等我，我去買水。我要在這一站下車。
12,吃,第1級,ㄔ,chī,V,"to eat, to have (food)",,核心詞,吃飯，吃飽，吃藥;;,今天晚餐要吃什麼？我吃飽了！感冒要吃藥才會好。
13,吃飯,第1級,ㄔ ㄈㄢˋ,chīfàn,V,"to eat, to have a meal",,核心詞,回家吃飯，吃了飯,今天晚上要不要一起去吃飯？吃飯以前要洗手。
14,吃飯,第1級,ㄔ ㄈㄢˋ,chīfàn,Phrase,to eat rice,,核心詞,,今天你想吃飯還是吃麵？
15,打,第1級,ㄉㄚˇ,dǎ,V,"to play (baseball, basketball, bowling, computer games, mobile games, etc.)",,核心詞,打球,我們明天要去打球。
16,打,第1級,ㄉㄚˇ,dǎ,V,to call,,核心詞,打電話,我晚上打電話給你。
17,打,第1級,ㄉㄚˇ,dǎ,V,"to beat, to hit",,核心詞,打人,你不應該打人。
18,大,第1級,ㄉㄚˋ,dà,Vs,"big, large",,核心詞,大杯，大房子,我們學校很大。他買了一輛很大的車。我們今天在大教室上課。
19,大,第1級,ㄉㄚˋ,dà,Vs,older,,核心詞,大五歲,姐姐比我大五歲。
20,大家,第1級,ㄉㄚˋ ㄐㄧㄚ,dàjiā,N,"everybody, everyone",,核心詞,大家一起,大家好！我給大家介紹台灣的小吃。
21,大學,第1級,ㄉㄚˋ ㄒㄩㄝˊ,dàxué,N,university,,8.教育、學習,……大學，念大學，上大學,他在大學學中文。
22,帶,第1級,ㄉㄞˋ,dài,V,"to bring, to take",,核心詞,帶著＋N，帶＋N來，外帶,我今天沒帶手機。這杯咖啡，你要外帶嗎？
23,帶,第1級,ㄉㄞˋ,dài,V,to lead,,核心詞,帶＋人去＋地方,媽媽帶孩子去公園玩。
24,到,第1級,ㄉㄠˋ,dào,V,to arrive,,核心詞,到家,十分鐘以後我就到家了。
25,到,第1級,ㄉㄠˋ,dào,Prep,to,,核心詞,到學校去，到台灣來,我要到學校去上課。
26,的,第1級,ㄉㄜ˙,de,Ptc,possession marker,,核心詞,我的筆，姊姊的工作,你的書在桌子上。這個是媽媽的杯子。
27,的,第1級,ㄉㄜ˙,de,Ptc,modifier marker,,核心詞,學校裡的學生，今天的功課，甜的水果，高高的鼻子吃的東西，教中文的老師,這家餐廳的東西很好吃。今天的晚餐吃什麼？他有一雙大大的眼睛。我昨天看的電影很好看。會說中文的外國人不少。
28,弟弟/弟,第1級,ㄉㄧˋ ˙ㄉㄧ / ㄉㄧˋ,dìdi / dì,N,younger brother,,核心詞,兩個弟弟,我有兩個弟弟。他是我弟弟。
29,點,第1級,ㄉㄧㄢˇ,diǎn,M,o'clock,,核心詞,下午三點,你明天幾點到學校？
30,點,第1級,ㄉㄧㄢˇ,diǎn,V,to order,,核心詞,點菜，點歌,我們點三個菜、一個湯。
31,電話,第1級,ㄉㄧㄢˋ ㄏㄨㄚˋ,diànhuà,N,"telephone, phone",,核心詞,一部電話，電話號碼，打電話,我們家的電話壞了，不能打出去。你的電話號碼幾號？她打電話給我。
32,東西,第1級,ㄉㄨㄥ ˙ㄒㄧ,dōngxi,N,"things, stuff",,核心詞,什麼東西，吃東西，買東西,我餓了，想吃點東西。我今天買了很多東西。
33,都,第1級,ㄉㄡ,dōu,Adv,all,,核心詞,,大家都到了，我們吃飯吧！我和媽媽都喜歡運動。這些字，我都學過了。
34,對,第1級,ㄉㄨㄟˋ,duì,Vs,"correct, right",,核心詞,對不對，不對,我們應該坐三點的車，對不對？這個字寫得不對。
35,對不起,第1級,ㄉㄨㄟˋ ㄅㄨˋ ㄑㄧˇ,duìbùqǐ,Phrase,"sorry, excuse me",,6.社交、人際,,對不起，我昨天沒來上課。
36,多,第1級,ㄉㄨㄛ,duō,Vs,"many, much",,核心詞,多一點A比B多,我今天吃了很多東西。我的中文書比你的多。
37,多,第1級,ㄉㄨㄛ,duō,Adv,"how much, how many",,核心詞,多高，多大,你兒子今年多大了？
38,多,第1級,ㄉㄨㄛ,duō,Det,over,,核心詞,兩百多塊，三百多人，一年多，十二點多,他學了一年多的中文。十二點多了，快吃飯吧！
39,多少,第1級,ㄉㄨㄛ ㄕㄠˇ,duōshǎo,N,"how many, how much",,核心詞,有多少，多少錢,這裡一共有多少人？這枝筆多少錢？
40,兒子,第1級,ㄦˊ ˙ㄗ,érzi,N,son,,1.個人資料,我兒子，三個兒子,他有一個十歲的兒子。;
41,二,第1級,ㄦˋ,èr,N,two,2,核心詞,二十年，二號，二月二日,我的生日是二月二十日。
42,法國,第1級,ㄈㄚˇ ㄍㄨㄛˊ,fǎguó,N,the République française (France),,1.個人資料,法國餐廳,我想去法國玩。
43,分,第1級,ㄈㄣ,fēn,N,minute,,核心詞,幾點幾分,我每天六點十分起床。
44,高,第1級,ㄍㄠ,gāo,Vs,tall,,核心詞,,台灣最高的山是玉山。你知道台北101有多高嗎？
45,哥哥/哥,第1級,ㄍㄜ ˙ㄍㄜ / ㄍㄜ,gēge / gē,N,elder brother,,核心詞,哥哥姊姊，他哥哥,我有兩個哥哥。他是我哥。
46,個,第1級,˙ㄍㄜ,ge,M,classifier for people or objects in general,,核心詞,一個麵包，這個東西，那個小孩，每個人,這個麵包很好吃。我家有五個人。
47,給,第1級,ㄍㄟˇ,gěi,V,to give,,核心詞,,請給我一杯咖啡。
48,給,第1級,ㄍㄟˇ,gěi,Prep,"to, for",,核心詞,,我給媽媽買衣服。桌上的杯子，請拿給我。請給我們介紹台灣好玩的地方。
49,工作,第1級,ㄍㄨㄥ ㄗㄨㄛˋ,gōngzuò,N,"work, job, task",,3.職業,做……工作，找工作,他想在大學找一個工作。
50,國,第1級,ㄍㄨㄛˊ,guó,N,"nation, country",,核心詞,哪國,你是哪國人？
51,孩子,第1級,ㄏㄞˊ ˙ㄗ,háizi,N,"kids,child, childern",,核心詞,孩子們，每個孩子,孩子都喜歡玩。
52,孩子,第1級,ㄏㄞˊ ˙ㄗ,háizi,N,"son, daughter",兒子、女兒。,核心詞,兩個孩子,他們有兩個孩子，一個兒子，一個女兒。
53,和1,第1級,ㄏㄢˋ / ㄏㄜˊ,hàn / hé,Conj,and,,核心詞,……和……,我的房間裡有兩張桌子和一張椅子。
54,和1,第1級,ㄏㄢˋ / ㄏㄜˊ,hàn / hé,Prep,(together) with,,核心詞,和……一起＋V,我和他一起學中文。
55,好1,第1級,ㄏㄠˇ,hǎo,Vs,"good, well",,核心詞,,今天天氣很好。今天是好天氣。他中文說得很好。
56,好1,第1級,ㄏㄠˇ,hǎo,Adv,very,,核心詞,好累，好漂亮，好痛，好忙,我今天好累。
57,好1,第1級,ㄏㄠˇ,hǎo,Phrase,to say hello to,,核心詞,你好，大家好,老師好，同學好。
58,好1,第1級,ㄏㄠˇ,hǎo,Vs,would you,,核心詞,,我們一起去吃飯，好嗎？
59,號1,第1級,ㄏㄠˋ,hào,N,number,,核心詞,三十號，六號三樓,我住在163號房。我住在中山路179號。
60,號1,第1級,ㄏㄠˋ,hào,N,day,,核心詞,三月六號,我媽媽的生日是十二月九號。
61,號1,第1級,ㄏㄠˋ,hào,N,grade,,核心詞,大號，中號，小號,我穿小號的衣服。
62,喝,第1級,ㄏㄜ,hē,V,to drink,,核心詞,喝茶，喝牛奶，喝湯,你要喝茶嗎？我喜歡在睡覺以前喝一杯牛奶。
63,很,第1級,ㄏㄣˇ,hěn,Adv,"very, quite",,核心詞,很＋Vs：很大，很高，很快，很漂亮，很快樂,他很高。這個水果很甜。這個字很難寫。
64,後,第1級,ㄏㄡˋ,hòu,N,behind,,核心詞,後面，在＋N後面;,我後面坐著一個法國人。;他站在門後玩手機。
65,後,第1級,ㄏㄡˋ,hòu,N,after,,核心詞,三天後，一年後,我三天後就要回國了。
66,話,第1級,ㄏㄨㄚˋ,huà,N,words,,核心詞,一句話,我聽不懂你說的話。這句話是什麼意思？
67,幾,第1級,ㄐㄧˇ,jǐ,Det,"how many, how much",,核心詞,幾個，幾天，幾個月，幾歲,你學了幾年的中文？你喝了幾杯咖啡？你今年幾歲？
68,幾,第1級,ㄐㄧˇ,jǐ,Det,which,,核心詞,幾月，幾號，星期幾,今天是幾號？
69,幾,第1級,ㄐㄧˇ,jǐ,Det,"a few, several",,核心詞,幾本，幾張，幾分鐘,我這裡有幾本中文書，你想看嗎？你可以等我幾分鐘嗎？
70,家,第1級,ㄐㄧㄚ,jiā,N,home,,核心詞,回家，在家,我家在台中。我下課以後就回家吃飯。
71,家,第1級,ㄐㄧㄚ,jiā,N,family,,核心詞,我家,我家有四個人。
72,家,第1級,ㄐㄧㄚ,jiā,M,"classifier for store, restaurant",,核心詞,一家店，一家餐廳,學校旁邊有很多家餐廳。
73,腳,第1級,ㄐㄧㄠˇ,jiǎo,N,foot,,核心詞,一隻腳，左腳，右腳,走了一天，我的腳很痛。
74,叫,第1級,ㄐㄧㄠˋ,jiào,V,named,,核心詞,,你叫什麼名字？我叫王小明。
75,叫,第1級,ㄐㄧㄠˋ,jiào,V,to ask,,核心詞,叫（人）做……,老師叫我們做功課。
76,姊姊/姐姐/姊/姐,第1級,ㄐㄧㄝˇ ˙ㄐㄧㄝ / ㄐㄧㄝˇ,jiějie / jiě,N,elder sister,,核心詞,我姐,我的姐姐比大我一歲。
77,今年,第1級,ㄐㄧㄣ ㄋㄧㄢˊ,jīnnián,N,this year,,核心詞,今年三月，今年是2020年,我今年五十歲。
78,今天,第1級,ㄐㄧㄣ ㄊㄧㄢ,jīntiān,N,today,,核心詞,今天早上，今天下午三點,我今天要去學校上課。
79,九,第1級,ㄐㄧㄡˇ,jiǔ,N,nine,9,核心詞,九個，九張，九年,我家有九個人。
80,久,第1級,ㄐㄧㄡˇ,jiǔ,Vs,long time,,核心詞,,他們在台灣住了很久。
81,就,第1級,ㄐㄧㄡˋ,jiù,Adv,"only, merely, just",,核心詞,就兩個月，就學了兩年,我就學了兩年中文。
82,就,第1級,ㄐㄧㄡˋ,jiù,Adv,"exactly, precisely",,核心詞,就是，就在,學校就在我家旁邊。我們再走三分鐘就到學校了。
83,咖啡,第1級,ㄎㄚ ㄈㄟ,kāfēi,N,coffee,,10.餐飲、烹飪,一杯咖啡，喝咖啡,我喜歡喝咖啡。
84,看1,第1級,ㄎㄢˋ,kàn,V,"to look at, to see, to take a look",,核心詞,,你在看什麼？你看，這些花好漂亮。
85,看1,第1級,ㄎㄢˋ,kàn,V,to watch,,核心詞,看電視，看電影，看手機;,上課的時候不要看手機。今天晚上我想去看電影。
86,看1,第1級,ㄎㄢˋ,kàn,V,to read,,核心詞,看書,我喜歡看書。你看得懂中文書嗎？
87,看1,第1級,ㄎㄢˋ,kàn,V,to visit,,核心詞,看朋友,我明天去台中看朋友。
88,可能,第1級,ㄎㄜˇ ㄋㄥˊ,kěnéng,Vaux,"probably, maybe, perhaps",,核心詞,（很）可能會,明天可能會下雨。十點了，他可能不會來了。
89,可以,第1級,ㄎㄜˇ ㄧˇ,kěyǐ,Vaux,allowed,,核心詞,,上課的時候可以吃東西嗎？
90,可以,第1級,ㄎㄜˇ ㄧˇ,kěyǐ,Vaux,could,,核心詞,,你可以給我介紹台灣好玩的地方嗎？
91,可以,第1級,ㄎㄜˇ ㄧˇ,kěyǐ,Vaux,"be able to, can",,核心詞,,你可以用中文介紹自己嗎？
92,塊,第1級,ㄎㄨㄞˋ,kuài,M,piece,,核心詞,一塊肉，一塊蛋糕,我中午吃了一塊蛋糕，喝了一杯咖啡。
93,塊,第1級,ㄎㄨㄞˋ,kuài,M,classifier for money and currency units,,核心詞,五塊錢，十塊美金,一杯咖啡四十五塊。
94,來,第1級,ㄌㄞˊ,lái,V,to come,從別的地方到這個地方。,核心詞,,他來台灣學中文。公車來了。
95,老,第1級,ㄌㄠˇ,lǎo,Vs,aged,,核心詞,老先生，老太太,我奶奶很老了，她今年已經九十歲了。
96,老,第1級,ㄌㄠˇ,lǎo,Vs,"old, outdated",,核心詞,老房子，老朋友,我住在一間老房子裡。我們是二十年的老朋友。
97,老師,第1級,ㄌㄠˇ ㄕ,lǎoshī,N,teacher,,8.教育、學習,三位老師，英文老師,他是我的中文老師。張老師早。
98,冷,第1級,ㄌㄥˇ,lěng,Vs,"cold, cool",,核心詞,天氣冷，冷空氣,今天很冷。
99,兩,第1級,ㄌㄧㄤˇ,liǎng,N,"two, both, pair",2，二。,核心詞,兩個，兩天，兩杯酒,桌上有兩杯牛奶。
100,六,第1級,ㄌㄧㄡˋ,liù,N,six,6,核心詞,六個，六張，六年,我買了六個雞蛋。
101,路,第1級,ㄌㄨˋ,lù,N,"road,street",,核心詞,一條路，路上，路邊,這條路上有很多車。我住在一心路。
102,媽媽/媽,第1*級,ㄇㄚ ˙ㄇㄚ / ㄇㄚ,māma / ma,N,mother,,核心詞,我媽媽,我媽媽喜歡看電影。媽媽，生日快樂。
103,嗎,第1級,˙ㄇㄚ,ma,Ptc,final interrogative particle,,核心詞,真的嗎，是……嗎,你是老師嗎？你吃飯了嗎？
104,買,第1級,ㄇㄞˇ,mǎi,V,to buy,,核心詞,買……給……,他買了一輛新車。媽媽買了一件新衣服給我。
105,沒,第1級,ㄇㄟˊ,méi,Adv,do not have,,核心詞,沒錢，沒時間,我沒錢了，今天不能跟你們去看電影。
106,沒,第1級,ㄇㄟˊ,méi,Adv,"there is not, not exist",,核心詞,,教室裡沒人。我家附近沒好吃的餐廳。
107,沒,第1級,ㄇㄟˊ,méi,Adv,haven't had,,核心詞,,我沒吃過台灣的小吃。他昨天沒來上課。我還沒吃早飯。
108,沒關係,第1級,ㄇㄟˊ ㄍㄨㄢ ˙ㄒㄧ,méiguānxi,Phrase,It's ok. That’s fine. It doesn't matter…,,核心詞,,A：「對不起！」 B：「沒關係！」你不去沒關係，我自己去。
109,沒有,第1級,ㄇㄟˊ ㄧㄡˇ,méiyǒu,Phrase,do not have,,核心詞,,他現在沒有時間出去玩。
110,沒有,第1級,ㄇㄟˊ ㄧㄡˇ,méiyǒu,Phrase,"there is not, not exist",,核心詞,,我家附近沒有好吃的餐廳。
111,美國,第1級,ㄇㄟˇ ㄍㄨㄛˊ,měiguó,N,the United States of America (the U.S.A),,1.個人資料,美國人,我的英文老師是美國人。
112,妹妹/妹,第1級,ㄇㄟˋ ˙ㄇㄟ / ㄇㄟˋ,mèimei / mèi,N,younger sister,,核心詞,他妹妹，我的妹妹,她的妹妹是我的同學。
113,們,第1級,˙ㄇㄣ,men,N,nominal suffix indicating plural,,核心詞,孩子們，同學們,同學們，上課了。
114,名字,第1級,ㄇㄧㄥˊ ㄗˋ,míngzì,N,name,,核心詞,叫……名字，中文名字,你叫什麼名字？我的名字是大明。
115,明天,第1級,ㄇㄧㄥˊ ㄊㄧㄢ,míngtiān,N,tomorrow,,核心詞,明天早上，明天九點,明天是星期一。明天會下雨。你明天要不要和我一起去看電影？
116,拿,第1級,ㄋㄚˊ,ná,V,to hold,,核心詞,拿著（東西）,他手裡拿著一杯茶。
117,拿,第1級,ㄋㄚˊ,ná,V,to take,,核心詞,拿給，拿到,那本書，請你拿給我。
118,哪1,第1級,ㄋㄚˇ,nǎ,Det,which,,,哪個，哪國，哪天,你是哪國人？
119,哪裡/哪裏/哪兒,第1級,ㄋㄚˇ ㄌㄧˇ / ㄋㄚˇ ㄌㄧˇ / ㄋㄚˇ ㄦ,nǎlǐ / nǎlǐ / nǎr,N,where,,核心詞,去哪裡，到哪裡，在哪裡，從哪裡,你週末要去哪裡？
120,那/那裡/那裏/那兒,第1級,ㄋㄚˋ / ㄋㄚˋ ㄌㄧˇ / ㄋㄚˋ ㄌㄧˇ / ㄋㄚˋ ㄦ,nà / nàlǐ / nàlǐ / nàr,N,there,,核心詞,在那裡，從那裡，到那裡，去那裡,A：「我的書在哪裡？」 B：「在老師那裡。」我很喜歡台灣，那裡有我喜歡的同學和老師。
121,難1,第1級,ㄋㄢˊ,nán,Vs,difficult,,核心詞,,我覺得中文很難。這個字很難寫。
122,難1,第1級,ㄋㄢˊ,nán,Vs,bad,,核心詞,難看，難吃，難聽,這部電影很難看。這杯咖啡很難喝。
123,呢,第1級,˙ㄋㄜ,ne,Ptc,final particle (for query),,核心詞,,我想喝咖啡，你想喝什麼呢？我是台灣人，你呢？
124,你,第1級,ㄋㄧˇ,nǐ,N,you,,核心詞,,你今天午餐想吃什麼？他很喜歡你。
125,你們,第1級,ㄋㄧˇ ˙ㄇㄣ,nǐmen,N,you (plural),,核心詞,,你們今天想去哪裡玩？我想請你們來我家喝咖啡。
126,妳,第1級,ㄋㄧˇ,nǐ,N,you (female),,核心詞,,妳好，我是妳的同學。
127,年,第1級,ㄋㄧㄢˊ,nián,M,year,,核心詞,每年，一年，二十年,我在台灣住了三年。
128,您,第1級,ㄋㄧㄣˊ,nín,N,honorific for ‘‘you’’,,核心詞,謝謝您，您好,您好，我是王小明。請問您姓什麼？
129,女兒,第1級,ㄋㄩˇ ㄦˊ,nǚér,N,daughter,,1.個人資料,我女兒，小女兒,我有兩個女兒。
130,朋友,第1級,ㄆㄥˊ ㄧㄡˇ,péngyǒu,N,friend,,核心詞,三個朋友，好朋友，老朋友,我有很多外國朋友。
131,七,第1級,ㄑㄧ,qī,N,seven,7,核心詞,七個，七張，七天,一個星期有七天。
132,千,第1級,ㄑㄧㄢ,qiān,N,thousand,1000,核心詞,三千人，一千元,桌上有一千元。
133,前,第1級,ㄑㄧㄢˊ,qián,N,in front of,,核心詞,在＋（東西）前,他站在桌子前跟我說話。
134,前,第1級,ㄑㄧㄢˊ,qián,N,before,,核心詞,三天前，一年前,我一年前來台灣學中文。
135,前,第1*級,ㄑㄧㄢˊ,qián,N,previous,,核心詞,前兩天，前一課,這件是我前兩天買的新衣服。
136,錢,第1級,ㄑㄧㄢˊ,qián,N,money,,核心詞,一塊錢，多少錢,這個東西多少錢？這本書，兩百五十塊錢。
137,請,第1級,ㄑㄧㄥˇ,qǐng,V,please,,核心詞,請坐，請說，請您……,請給我一杯牛奶。上中文課的時候，請說中文。
138,請,第1級,ㄑㄧㄥˇ,qǐng,V,to stand treat,,核心詞,,我請你喝咖啡。
139,請,第1級,ㄑㄧㄥˇ,qǐng,V,to invite,,核心詞,,下星期六請你來我家玩。
140,請,第1級,ㄑㄧㄥˇ,qǐng,V,"to request, to ask",,核心詞,,你可以請朋友幫你叫計程車。
141,請問,第1級,ㄑㄧㄥˇ ㄨㄣˋ,qǐngwèn,Phrase,May I ask......?,,核心詞,,請問車站怎麼去？請問這個字怎麼唸？
142,去,第1級,ㄑㄩˋ,qù,V,to go,,核心詞,去（……）＋地方，去那裡，一起去……,我去朋友家吃飯。
143,去年,第1級,ㄑㄩˋ ㄋㄧㄢˊ,qùnián,N,last year,,核心詞,去年三月,這件衣服是去年買的。
144,熱,第1級,ㄖㄜˋ,rè,Vs,hot,,核心詞,天氣熱，熱茶，熱水,今天好熱！我要一杯熱咖啡。
145,人,第1級,ㄖㄣˊ,rén,N,"person, people",,核心詞,,教室裡有十五個人。
146,人,第1級,ㄖㄣˊ,rén,N,human being,,核心詞,,人都要吃飯、喝水。
147,日,第1級,ㄖˋ,rì,M,day,,核心詞,每日，一日,一年有三百六十五日。
148,日本,第1級,ㄖˋ ㄅㄣˇ,rìběn,N,Japan,,1.個人資料,日本人,我想去日本玩。
149,容易,第1級,ㄖㄨㄥˊ ㄧˋ,róngyì,Vs,easy,,核心詞,,天氣冷的時候容易感冒。學中文不是一件容易的事。
150,三,第1級,ㄙㄢ,sān,N,three,3,核心詞,三個，三張，三年,桌上有三個碗。
151,上,第1級,ㄕㄤˋ,shàng,N,"on, above",,核心詞,上面，桌上，床上,桌上有一杯咖啡。他在床上睡覺。
152,上,第1級,ㄕㄤˋ,shàng,N,"in the (tree, car)",,核心詞,車上，樹上,車上有五個人。
153,上,第1級,ㄕㄤˋ,shàng,N,previous,,核心詞,上個星期，上個月,我上個月去日本玩。
154,上,第1級,ㄕㄤˋ,shàng,V,up to,,核心詞,上樓，上去,我上樓去拿書。
155,上,第1級,ㄕㄤˋ,shàng,V,"to get on, to get into",,核心詞,上車，上公車，上火車，上飛機,公車來了，快上車吧！
156,上午,第1級,ㄕㄤˋ ㄨˇ,shàngwǔ,N,morning,,核心詞,今天上午，每天上午，上午十點,我們明天上午不上課。
157,少,第1級,ㄕㄠˇ,shǎo,Vs,"less, little, few",,核心詞,少一點,我會寫的中文字很少。
158,少,第1級,ㄕㄠˇ,shǎo,Vp,"lack, short",,核心詞,少一個人,少一個人，就不能打球。
159,什麼/甚麼,第1級,ㄕㄣˊ ˙ㄇㄜ / ㄕㄣˊ　˙ㄇㄜ,shénme / shénme,N,what,,核心詞,做什麼，是什麼，買什麼，什麼事，什麼人，什麼N,你今天在學校學了什麼？你晚餐想吃什麼東西？
160,十,第1級,ㄕˊ,shí,N,ten,10,核心詞,十個，十張，十年，十分鐘,我住在這裡十年了。
161,時候,第1級,ㄕˊ ㄏㄡˋ,shíhòu,N,"time, period",,核心詞,什麼時候，V的時候,他什麼時候回來？上課的時候不可以睡覺。
162,時間,第1級,ㄕˊ ㄐㄧㄢ,shíjiān,N,time,,核心詞,上課時間,現在的時間是十點十五分。吃飯的時間到了。
163,時間,第1級,ㄕˊ ㄐㄧㄢ,shíjiān,N,period,,核心詞,時間不長,他學中文的時間不長。
164,時間,第1級,ㄕˊ ㄐㄧㄢ,shíjiān,N,"free time, spare time",,核心詞,有時間，沒時間,我今天沒時間跟你們去玩。
165,是,第1級,ㄕˋ,shì,Vs,be,,核心詞,這是，不是,他是老師，不是醫生。那是我的車。這個字是什麼意思？今天是星期天。
166,是,第1級,ㄕˋ,shì,Vs,yes,對。,核心詞,是的,A：「這是你的書嗎？」 B：「是的。」
167,手機,第1級,ㄕㄡˇ ㄐㄧ,shǒujī,N,cell phone,,6.社交、人際,一支手機,你看到我的手機了嗎？
168,書,第1級,ㄕㄨ,shū,N,book,,核心詞,一本書，看書,你在看什麼書？這本書很有意思。
169,誰,第1級,ㄕㄟˊ,shuí,N,"who, whom",,核心詞,誰的,誰要喝咖啡？你知道那個人是誰嗎？這枝筆是誰的？
170,水,第1級,ㄕㄨㄟˇ,shuǐ,N,water,,核心詞,一杯水，喝水,我喝了一杯水。水裡面有魚。
171,睡覺,第1級,ㄕㄨㄟˋ ㄐㄧㄠˋ,shuìjiào,V,to sleep,,核心詞,,他在房間裡睡覺。
172,說,第1級,ㄕㄨㄛ,shuō,V,"to say, to tell , to talk, to speak",,核心詞,跟……說，說中文,你說什麼，我聽不懂。他跟我說他明天不會來。我會說中文也會說英文。
173,四,第1級,ㄙˋ,sì,N,four,4,核心詞,四個，四張，四分鐘,昨天我上了四個鐘頭的課。
174,歲,第1級,ㄙㄨㄟˋ,suì,M,classifier for age,,核心詞,二十歲，幾歲,你今年幾歲？我今年十七歲。
175,他,第1級,ㄊㄚ,tā,N,"he, him",,核心詞,,他唱歌很好聽。老師問他一個問題。
176,他們,第1級,ㄊㄚ ˙ㄇㄣ,tāmen,N,"they, them",,核心詞,,他們晚上要去公園。我想請他們來我家吃飯。
177,她,第1級,ㄊㄚ,tā,N,"she, her (object)",,核心詞,,她唱歌很好聽。老師問她一個問題。
178,臺灣/台灣,第1級,ㄊㄞˊ ㄨㄢ / ㄊㄞˊ ㄨㄢ,táiwān / táiwān,N,Taiwan,,1.個人資料,在臺（台）灣，臺（台）灣人,臺（台）灣的水果很好吃。
179,臺灣人/台灣人,第1級,ㄊㄞˊ ㄨㄢ ㄖㄣˊ / ㄊㄞˊ ㄨㄢ ㄖㄣˊ,táiwānrén / táiwānrén,N,Taiwanese,,1.個人資料,,我是臺（台）灣人，你呢？
180,太,第1級,ㄊㄞˋ,tài,Adv,"too, extremely",,核心詞,太多，太久，太大，太小，太好了，太累,這件衣服太貴了。今天的功課太多了。太好了！今天沒下雨。
181,太太,第1級,ㄊㄞˋ ˙ㄊㄞ,tàitai,N,wife,,核心詞,我太太，人＋的太太,這位是我太太。
182,太太,第1級,ㄊㄞˋ ˙ㄊㄞ,tàitai,N,"Mrs., madame",,核心詞,王太太,王太太，你好。
183,天,第1級,ㄊㄧㄢ,tiān,M,day(s),,核心詞,每天，兩天,我每天六點起床。我每個星期上三天的課。
184,聽,第1級,ㄊㄧㄥ,tīng,V,"to listen to, to hear",,核心詞,,你說得太快，我聽不懂。你們不要說話，聽老師說。你聽，誰在外面說話？
185,同學,第1級,ㄊㄨㄥˊ ㄒㄩㄝˊ,tóngxué,N,classmate,,核心詞,,我們兩個是同學。
186,外,第1級,ㄨㄞˋ,wài,N,outside of,,核心詞,外面，門外,他站在門外。我到教室外等你。
187,晚安,第1級,ㄨㄢˇ ㄢ,wǎnān,Phrase,good night,,核心詞,,我在睡覺前會跟爸爸媽媽說晚安。
188,晚上,第1級,ㄨㄢˇ ㄕㄤˋ,wǎnshàng,N,at night,,核心詞,今天晚上，晚上十點,今天晚上要不要一起去吃飯？
189,位,第1級,ㄨㄟˋ,wèi,M,classifier for people,,核心詞,一位老師，這位同學，這位先生，那位小姐,請問教室裡有幾位同學？
190,問,第1級,ㄨㄣˋ,wèn,V,to ask (about),,核心詞,問問題,他問我教室在哪裡？
191,問題,第1級,ㄨㄣˋ ㄊㄧˊ,wèntí,N,question,,核心詞,一個問題，那些問題，問問題,他問我一些問題。
192,問題,第1級,ㄨㄣˋ ㄊㄧˊ,wèntí,N,problem,,核心詞,有問題,這個電腦有問題。
193,我,第1級,ㄨㄛˇ,wǒ,N,"I, me",,核心詞,我的,我喜歡喝茶。我是醫生。他給我一本書。
194,我們,第1級,ㄨㄛˇ ˙ㄇㄣ,wǒmen,N,"we, us",,核心詞,我們這裡，我們的，我們學校,我們這裡有三十個人。老師教我們寫中文字。
195,五,第1級,ㄨˇ,wǔ,N,five,5,核心詞,五個，五張，五年,餐廳裡只有五個人。
196,下午,第1級,ㄒㄧㄚˋ ㄨˇ,xiàwǔ,N,afternoon,,核心詞,今天下午，星期六下午，下午四點,他今天下午都在寫功課。
197,先生,第1級,ㄒㄧㄢ ㄕㄥ,xiānshēng,N,Mister (Mr.) (honorific),,核心詞,張先生，兩位先生,王先生，您好。
